players,feat
Kedar Jadhav,1
Mayank Agarwal,2
Rohit Sharma,3
Shikhar Dhawan,4
Virat Kohli,5
Hardik Pandya,6
Ravindra Jadeja,7
Dinesh Karthik,8
KL Rahul,9
MS Dhoni,10
Rishabh Pant,11
Bhuvneshwar Kumar,12
Jasprit Bumrah,13
Kuldeep Yadav,14
Mohammed Shami,15
Yuzvendra Chahal,16
Aaron Finch,17
David Warner,18
Shaun Marsh,19
Steve Smith,20
Glenn Maxwell,21
Marcus Stoinis,22
Alex Carey,23
Matthew Wade,24
Peter Handscomb,25
Adam Zampa,26
Jason Behrendorff,27
Kane Richardson,28
Mitchell Starc,29
Nathan Coulter-Nile,30
Nathan Lyon,31
Pat Cummins,32
Eoin Morgan,33
James Vince,34
Jason Roy,35
Joe Root,36
Ben Stokes,37
Liam Dawson,38
Moeen Ali,39
Tom Curran,40
Jonny Bairstow,41
Jos Buttler,42
Adil Rashid,43
Chris Woakes,44
Jofra Archer,45
Liam Plunkett,46
Mark Wood,47
Henry Nicholls,48
Kane Williamson,49
Martin Guptill,50
Ross Taylor,51
Colin de Grandhomme,52
Colin Munro,53
Jimmy Neesham,54
Mitchell Santner,55
Tom Blundell,56
Tom Latham,57
Ish Sodhi,58
Lockie Ferguson,59
Matt Henry,60
Tim Southee,61
Trent Boult,62
Asif Ali,63
Babar Azam,64
Fakhar Zaman,65
Haris Sohail,66
Imam-ul-Haq,67
Imad Wasim,68
Mohammad Hafeez,69
Shadab Khan,70
Shoaib Malik,71
Sarfaraz Ahmed,72
Hassan Ali,73
Mohammad Amir,74
Mohammad Hasnain,75
Shaheen Afridi,76
Wahab Riaz,77
Avishka Fernando,78
Dimuth Karunaratne,79
Lahiru Thirimanne,80
Angelo Mathews,81
Dhananjaya de Silva,82
Isuru Udana,83
Jeevan Mendis,84
Milinda Siriwardana,85
Thisara Perera,86
Kusal Mendis,87
Kusal Perera,88
Jeffrey Vandersay,89
Kasun Rajitha,90
Lasith Malinga,91
Suranga Lakmal,92
Aiden Markram,93
David Miller,94
Faf du Plessis,95
Rassie van der Dussen,96
Chris Morris,97
Dwaine Pretorius,98
JP Duminy,99
Quinton de Kock,100
Andile Phehlukwayo,101
Beuran Hendricks,102
Imran Tahir,103
Kagiso Rabada,104
Lungi Ngidi,105
Tabraiz Shamsi,106
Mosaddek Hossain,107
Tamim Iqbal,108
Mahmudullah,109
Mehedi Hasan,110
Mohammad Saifuddin,111
Sabbir Rahman,112
Shakib Al Hasan,113
Soumya Sarkar,114
Liton Das,115
Mohammad Mithun,116
Mushfiqur Rahim,117
Abu Jayed,118
Mashrafe Mortaza,119
Mustafizur Rahman,120
Rubel Hossain,121
Darren Bravo,122
Evin Lewis,123
Shimron Hetmyer,124
Sunil Ambris,125
Carlos Brathwaite,126
Chris Gayle,127
Fabian Allen,128
Jason Holder,129
Nicholas Pooran,130
Shai Hope,131
Ashley Nurse,132
Kemar Roach,133
Oshane Thomas,134
Shannon Gabriel,135
Sheldon Cottrell,136
Asghar Afghan,137
Hashmatullah Shahidi,138
Hazrat Zazai,139
Ikram Ali Khil,140
Najibullah Zadran,141
Noor Ali Zadran,142
Mohammad Nabi,143
Rahmat Shah,144
Samiullah Shinwari,145
Dawlat Zadran,146
Gulbadin Naib,147
Hamid Hassan,148
Mujeeb Ur Rahman,149
Rashid Khan,150
Sayed Shirzad,151
Bat_IND,152
All_IND,153
Wc_IND,154
Bow_IND,155
Bat_AUS,156
All_AUS,157
Wc_AUS,158
Bow_AUS,159
Bat_ENG,160
All_ENG,161
Wc_ENG,162
Bow_ENG,163
Bat_NZ,164
All_NZ,165
Wc_NZ,166
Bow_NZ,167
Bat_Pak,168
All_Pak,169
Wc_Pak,170
Bow_Pak,171
Bat_SL,172
All_SL,173
Wc_SL,174
Bow_SL,175
Bat_SA,176
All_SA,177
Wc_SA,178
Bow_SA,179
Bat_BAN,180
All_BAN,181
Wc_BAN,182
Bow_BAN,183
Bat_WI,184
All_WI,185
Wc_WI,186
Bow_WI,187
Bat_AFG,188
All_AFG,189
Bow_AFG,190
IND,191
AUS,192
ENG,193
NZ,194
Pak,195
SL,196
SA,197
BAN,198
WI,199
AFG,200
WC,201
